UTCTIME,LOCAL_ANGLE,REMOTE_ANGLE,FREQ,PHASE,SYNC,LATENCY,FACE_DETECTED
1531302907711,-3.2981255704993373,0,0.10794007167203777,0.07663745088940868,0.11,0,1
1531302907734,-3.3906999381296536,0,0.10794007167203777,0.07910927852872801,0.11,0,1
1531302907756,-3.139318921103642,0,0.10794007167203777,0.08144078407449169,0.11,0,1
1531302907778,-2.9080483854397117,0,0.10794007167203777,0.08380467164329505,0.11,0,1
1531302907801,-2.7136495881257896,0,0.10794007167203777,0.08615776521070147,0.11,0,1
1531302907825,-2.580031819445036,0,0.10794007167203777,0.08848927075646515,0.11,0,1
1531302907847,-2.443979623414989,0,0.10794007167203777,0.09084236431758862,0.11,0,1
1531302907868,-2.318811603067346,0,0.10794007167203777,0.09331419196319088,0.11,0,1
1531302907890,-2.1331500768726426,0,0.10794007167203777,0.09568887353967413,0.11,0,1
1531302907913,-1.879978682312987,0,0.10794007167203777,0.09803117309311771,0.11,0,1
1531302907936,-1.6470609993181036,0,0.10794007167203777,0.10043823669264064,0.11,0,1
1531302907957,-1.3858174481570251,0,0.10794007167203777,0.10281291826912388,0.11,0,1
1531302907979,-1.1411886574430383,0,0.10794007167203777,0.10520918786096692,0.11,0,1
1531302908001,-0.9161301699861706,0,0.10794007167203777,0.10768101550028625,0.11,0,1
1531302908023,-0.6800705166114837,0,0.10794007167203777,0.11029316523316124,0.11,0,1
1531302908046,-0.5152159740820438,0,0.10794007167203777,0.1125814947544883,0.11,0,1
1531302908067,-0.36354979495495915,0,0.10794007167203777,0.11491300030025198,0.11,0,1
1531302908090,-0.208936116022383,0,0.10794007167203777,0.11728768187673523,0.11,0,1
1531302908111,-0.020665283027614306,0,0.10794007167203777,0.11968395146857827,0.11,0,1
1531302908133,0.1525438833275729,0,0.10794007167203777,0.12220974914629705,0.11,0,1
1531302908155,0.26534120999501076,0,0.10794007167203777,0.12455204869974063,0.11,0,1
1531302908178,0.3595958781960913,0,0.10794007167203777,0.12691593627482692,0.11,0,1
1531302908199,0.4463101729410854,0,0.10794007167203777,0.1292798238436303,0.11,0,1
1531302908222,0.5235513212204967,0,0.10794007167203777,0.13163291740475375,0.11,0,1
1531302908243,0.5640122914663448,0,0.10794007167203777,0.13413712706711275,0.11,0,1
1531302908265,0.601236384092525,0,0.10794007167203777,0.13646863261287645,0.11,0,1
1531302908287,0.4823855508565973,0,0.10794007167203777,0.13882172618028285,0.11,0,1
1531302908310,0.28401650864359257,0,0.10794007167203777,0.1411964077567661,0.11,0,1
1531302908334,0.10151698980762822,0,0.10794007167203777,0.1435926773423262,0.11,0,1
1531302908356,-0.1398758977285934,0,0.10794007167203777,0.1459241828943728,0.11,0,1
1531302908378,-0.2619939902487433,0,0.10794007167203777,0.14834204050157565,0.11,0,1
1531302908400,-0.3743426353672812,0,0.10794007167203777,0.1506843400550192,0.11,0,1
1531302908422,-0.46829182526890994,0,0.10794007167203777,0.15308060964686224,0.11,0,1
1531302908444,-0.6154063478953955,0,0.10794007167203777,0.15539052717726615,0.11,0,1
1531302908467,-0.7507517087117621,0,0.14568552323004394,0,0.15,0,1
1531302908488,-0.9103862902584612,0,0.14568552323004394,0.0032342186166838733,0.15,0,1
1531302908510,-1.1308734960305835,0,0.14568552323004394,0.0065558485514575875,0.15,0,1
1531302908532,-1.333721725340936,0,0.14568552323004394,0.009950321242826155,0.15,0,1
1531302908554,-1.4236541761563093,0,0.14568552323004394,0.013242814063089909,0.15,0,1
1531302908576,-1.576943046667416,0,0.14568552323004394,0.01647703267977378,0.15,0,1
1531302908602,-1.717968807537634,0,0.14568552323004394,0.019711251296457656,0.15,0,1
1531302908623,-1.8397525543191,0,0.14568552323004394,0.022887195701081633,0.15,0,1
1531302908645,-1.9265412415817595,0,0.14568552323004394,0.026194257082840375,0.15,0,1
1531302908666,-2.0063868338634063,0,0.14568552323004394,0.02934106438143441,0.15,0,1
1531302908688,-2.0186753406027456,0,0.14568552323004394,0.03253157733907336,0.15,0,1
1531302908713,-2.096529051372022,0,0.14568552323004394,0.03572209029671231,0.15,0,1
1531302908734,-2.1681544652797564,0,0.14568552323004394,0.03892717180736624,0.15,0,1
1531302908756,-2.1694317387520003,0,0.14568552323004394,0.04210311622047023,0.15,0,1
1531302908779,-2.2101175347983624,0,0.14568552323004394,0.04542474614676393,0.15,0,1
1531302908800,-2.301279266665942,0,0.14568552323004394,0.04903774712487709,0.15,0,1
1531302908822,-2.385148059984115,0,0.14568552323004394,0.052126280211411226,0.15,0,1
1531302908845,-2.393913279230075,0,0.14568552323004394,0.055316793177530195,0.15,0,1
1531302908867,-2.434131532446563,0,0.14568552323004394,0.0584781690291392,0.15,0,1
1531302908889,-2.471132325405732,0,0.14568552323004394,0.06171238764582307,0.15,0,1
1531302908910,-2.4471693086897135,0,0.14568552323004394,0.06516513454077152,0.15,0,1
1531302908932,-2.4251233333109763,0,0.14568552323004394,0.0683556475068905,0.15,0,1
1531302908954,-2.419059674374508,0,0.14568552323004394,0.07157529757055939,0.15,0,1
1531302908976,-2.5166440285232907,0,0.14568552323004394,0.07485322183780817,0.15,0,1
1531302908998,-2.6064216343401707,0,0.14568552323004394,0.07802916624243214,0.15,0,1
1531302909019,-2.6769301152983394,0,0.14568552323004394,0.08124881630610105,0.15,0,1
1531302909042,-2.7418087582837942,0,0.14568552323004394,0.08458501479388973,0.15,0,1
1531302909063,-2.8014971098304127,0,0.14568552323004394,0.0877172535394688,0.15,0,1
1531302909085,-2.8294912184300967,0,0.14568552323004394,0.09090776649710774,0.15,0,1
1531302909107,-2.860727169077084,0,0.14568552323004394,0.09406914235719677,0.15,0,1
1531302909129,-2.8894642436723124,0,0.14568552323004394,0.09718681254976085,0.15,0,1
1531302909151,-2.8847024674370676,0,0.14568552323004394,0.10045016827247467,0.15,0,1
1531302909172,-2.8787391930511506,0,0.14568552323004394,0.10358240701805373,0.15,0,1
1531302909194,-2.873252980616107,0,0.14568552323004394,0.10675835142267771,0.15,0,1
1531302909217,-2.874427208560701,0,0.14568552323004394,0.10991972728276672,0.15,0,1
1531302909238,-2.8299604489320656,0,0.14568552323004394,0.11308110313437574,0.15,0,1
1531302909260,-2.789051030073721,0,0.14568552323004394,0.11627161609201468,0.15,0,1
